Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Headquarters,Segment_Category
1,McDonald's,40412,4.90%,13846,-0.50%,NA,Quick Service & Burger
2,Starbucks,21380,8.60%,15049,3.00%,NA,Quick Service & Coffee Cafe
3,Chick-fil-A,11320,13.00%,2470,5.00%,NA,Quick Service & Chicken
4,Taco Bell,11293,9.00%,6766,2.70%,NA,Quick Service & Mexican
5,Burger King,10204,2.70%,7346,0.20%,NA,Quick Service & Burger
6,Subway,10200,-2.00%,23801,-4.00%,NA,Quick Service & Sandwich
7,Wendy's,9762,4.20%,5852,0.70%,NA,Quick Service & Burger
8,Dunkin',9228,5.00%,9630,2.20%,NA,Quick Service & Coffee Cafe
9,Domino's,7044,6.90%,6126,4.30%,NA,Quick Service & Pizza
10,Panera Bread,5890,4.00%,2160,3.20%,NA,Fast Casual & Bakery Cafe
11,Pizza Hut,5558,0.60%,7306,-2.40%,NA,Quick Service & Pizza
12,Chipotle Mexican Grill,5509,14.80%,2584,5.30%,NA,Fast Casual & Mexican
13,Sonic Drive-In,4687,4.60%,3526,-2.10%,NA,Quick Service & Burger
14,KFC,4546,2.50%,4065,-0.20%,NA,Quick Service & Chicken
15,Olive Garden,4287,5.00%,866,1.30%,NA,Casual Dining & Italian/Pizza
16,Applebee's,4085,-3.00%,1665,-1.70%,NA,Casual Dining & Varied Menu
17,Panda Express,3946,12.00%,2209,4.90%,NA,Fast Casual & Asian/Noodle
18,Arby's,3884,1.90%,3359,0.90%,NA,Quick Service & Sandwich
19,Popeyes Louisiana Kitchen,3812,18.30%,2476,5.50%,NA,Quick Service & Chicken
20,Little Caesars,3811,2.70%,4237,-0.60%,NA,Quick Service & Pizza
21,Dairy Queen,3760,2.90%,4381,-0.60%,NA,Quick Service & Frozen Desserts
22,Buffalo Wild Wings,3669,-0.10%,1206,-0.20%,NA,Casual Dining & Sports Bar
23,Chili's Grill & Bar,3563,2.20%,1242,-0.70%,NA,Casual Dining & Varied Menu
24,Jack in the Box,3504,1.10%,2243,0.30%,NA,Quick Service & Burger
25,IHOP,3266,2.00%,1710,0.30%,NA,Family Dining & Family Style
26,Texas Roadhouse,3016,11.00%,553,3.80%,NA,Casual Dining & Steak
27,Denny's,2691,1.10%,1558,-1.50%,NA,Family Dining & Family Style
28,Papa John's,2638,-2.70%,3142,-1.80%,NA,Quick Service & Pizza
29,Outback Steakhouse,2635,0.90%,724,-1.20%,NA,Casual Dining & Steak
30,Whataburger,2556,5.80%,830,0.60%,NA,Quick Service & Burger
31,Red Lobster,2490,1.60%,679,0.10%,NA,Casual Dining & Seafood
32,Cracker Barrel,2482,1.80%,660,0.80%,NA,Family Dining & Family Style
33,The Cheesecake Factory,2180,2.50%,206,2.50%,NA,Casual Dining & Varied Menu
34,Jimmy John's Gourmet Sandwiches,2105,-1.60%,2787,-0.50%,NA,Fast Casual & Sandwich
35,Hardee's,2020,-4.00%,1820,-1.40%,NA,Quick Service & Burger
36,Zaxby's,1886,6.00%,910,1.30%,NA,Fast Casual & Chicken
37,LongHorn Steakhouse,1867,6.30%,530,1.90%,NA,Casual Dining & Steak
38,Culver's,1795,13.90%,732,6.70%,NA,Quick Service & Burger
39,Golden Corral,1746,0.80%,483,-1.20%,NA,Quick Service & Family Casual
40,Five Guys Burgers and Fries,1661,7.40%,1368,0.70%,NA,Fast Casual & Burger
41,Red Robin Gourmet Burgers and Brews,1548,-0.30%,556,-3.00%,NA,Casual Dining & Varied Menu
42,Raising Cane's Chicken Fingers,1466,23.80%,457,14.30%,NA,Fast Casual & Chicken
43,Carl's Jr.,1423,-2.50%,1095,-2.30%,NA,Quick Service & Burger
44,Wingstop,1363,19.00%,1231,9.50%,NA,Fast Casual & Chicken
45,Waffle House,1344,3.40%,1959,1.20%,NA,Family Dining & Family Style
46,Jersey Mike's Subs,1340,16.70%,1667,11.60%,NA,Fast Casual & Sandwich
47,Bojangles',1331,2.70%,746,-1.30%,NA,Quick Service & Chicken
48,BJ's Restaurant & Brewhouse,1161,4.00%,208,3.00%,NA,Casual Dining & Varied Menu
49,TGI Fridays,1085,-8.50%,385,-7.90%,NA,Casual Dining & Varied Menu
50,In-N-Out Burger,957,4.60%,351,3.50%,NA,Quick Service & Burger
51,Steak 'n Shake,950,-7.70%,576,-3.00%,NA,Quick Service & Burger
52,P.F. Chang's,917,1.40%,221,0.00%,NA,Casual Dining & Asian
53,Qdoba Mexican Eats,901,5.90%,730,-2.90%,NA,Fast Casual & Mexican
54,El Pollo Loco,894,3.00%,482,-0.40%,NA,Quick Service & Chicken
55,Krispy Kreme,887,4.40%,364,4.00%,NA,Quick Service & Snack
56,Hooters,858,0.40%,341,0.00%,NA,Casual Dining & Sports Bar
57,Del Taco,850,4.00%,596,2.80%,NA,Quick Service & Mexican
58,Firehouse Subs,832,4.80%,1155,1.90%,NA,Fast Casual & Sandwich
59,Bob Evans,795,-4.20%,483,-1.40%,NA,Family Dining & Family Style
60,Moe's Southwest Grill,749,2.00%,730,1.50%,NA,Fast Casual & Mexican
61,Papa Murphy's Pizza,748,-5.90%,1329,-5.10%,NA,Quick Service & Pizza
62,Ruby Tuesday,731,-11.40%,451,-8.10%,NA,Casual Dining & Varied Menu
63,McAlister's Deli,725,7.00%,460,3.60%,NA,Fast Casual & Sandwich
64,Cheddar's Scratch Kitchen,724,0.60%,175,2.90%,NA,Casual Dining & Varied Menu
65,Church's Chicken,716,-5.20%,1032,-5.00%,NA,Quick Service & Chicken
66,Tim Hortons,714,-3.50%,715,-1.70%,"Toronto, ON",Quick Service & Coffee Cafe
67,Ruth's Chris Steak House,703,1.60%,135,1.50%,"Winter Park, FL",Steak
68,Carrabba's Italian Grill,653,-1.00%,225,-0.90%,NA,Casual Dining & Italian/Pizza
69,Jason's Deli,647,-1.10%,283,1.80%,NA,Fast Casual & Sandwich
70,Marco's Pizza,628,4.80%,915,3.60%,NA,Quick Service & Pizza
71,Shake Shack,622,31.80%,173,27.20%,NA,Fast Casual & Burger
72,California Pizza Kitchen,621,-3.30%,199,-0.50%,NA,Casual Dining & Italian/Pizza
73,Baskin-Robbins,615,0.60%,2524,-1.00%,NA,Quick Service & Frozen Desserts
74,Yard House,609,6.60%,79,9.70%,NA,Casual Dining & Varied Menu
75,Bonefish Grill,587,-0.90%,197,0.00%,NA,Casual Dining & Seafood
76,White Castle,579,2.40%,371,-0.50%,NA,Quick Service & Burger
77,Tropical Smoothie Cafe,576,21.80%,834,16.00%,NA,Quick Service & Beverage
78,Dave & Buster's,571,6.50%,132,10.90%,"Dallas, TX",Sports Bar
79,Dutch Bros. Coffee,567,15.00%,369,13.20%,NA,Quick Service & Coffee Cafe
80,Captain D's Seafood Kitchen,561,3.10%,540,2.10%,NA,Quick Service & Seafood
81,Auntie Anne's,559,0.20%,1288,-0.50%,NA,Quick Service & Snack
82,First Watch,558,35.10%,368,24.70%,NA,Family Dining & Family Style
83,Perkins Restaurant & Bakery,541,-9.50%,309,-13.00%,NA,Family Dining & Family Style
84,Freddy's Frozen Custard & Steakburgers,535,12.90%,368,12.20%,NA,Fast Casual & Burger
85,Checkers Drive-In Restaurants,535,-1.80%,584,-0.20%,NA,Quick Service & Burger
86,Noodles & Company,533,0.90%,457,-0.40%,NA,Fast Casual & Asian/Noodle
87,Einstein Bros. Bagels,517,-2.10%,710,-2.60%,NA,Quick Service & Bakery Cafe
88,Jamba,514,0.80%,767,-1.80%,NA,Quick Service & Beverage
89,Portillo's,505,12.20%,62,8.80%,NA,Fast Casual & Sandwich
90,Boston Market,501,-9.90%,390,-14.10%,NA,Fast Casual & Chicken
91,The Habit Burger Grill,500,14.50%,273,10.50%,NA,Fast Casual & Burger
92,Logan's Roadhouse,496,-3.70%,204,-1.00%,NA,Casual Dining & Steak
93,MOD Pizza,483,23.80%,467,18.20%,NA,Fast Casual & Pizza
94,Smoothie King,462,11.20%,972,8.00%,NA,Quick Service & Beverage
95,Mellow Mushroom,461,-0.30%,187,-1.10%,NA,Casual Dining & Italian/Pizza
96,The Capital Grille,461,4.70%,58,0.00%,NA,Fine Dining & Steak
97,Round Table Pizza,450,1.30%,435,0.70%,NA,Quick Service & Pizza
98,Miller's Ale House,446,10.20%,98,11.40%,NA,Casual Dining & Sports Bar
99,Potbelly sandwich Shop,446,-2.50%,471,-1.50%,NA,Quick Service & Sandwich
100,Hungry Howie's Pizza,439,7.00%,537,-2.40%,NA,Quick Service & Pizza
101,Charleys Philly Steaks,435,4.90%,540,2.30%,NA,Quick Service & Sandwich
102,Chuy's,426,7.10%,100,0.00%,"Austin, TX",Mexican
103,O'Charley's,426,-7.60%,196,-5.30%,"Nashville, TN",Varied Menu
104,Pollo Tropical,425,-2.10%,174,3.00%,"Miami, FL",Chicken
105,Maggiano's Little Italy,417,1.10%,53,1.90%,"Dallas, TX",Italian/Pizza
106,Cicis,410,-1.40%,420,0.70%,"Coppell, TX",Pizza
107,Long John Silver's,404,-8.20%,850,-2.40%,"Louisville, KY",Seafood
108,Saltgrass Steak House,402,14.90%,88,10.00%,"Houston, TX",Steak
109,Chuck E. Cheese's,381,-0.50%,537,1.30%,"Irving, TX",Pizza
110,Taco John's,373,0.50%,387,-1.30%,"Cheyenne, WY",Mexican
111,Texas de Brazil Churrascaria,370,10.50%,58,9.40%,"Dallas, TX",Steak
112,Cold Stone Creamery,369,-2.30%,895,-0.90%,"Scottsdale, AZ",Frozen Desserts
113,Blaze Pizza,366,12.40%,313,5.70%,"Pasadena, CA",Pizza
114,Peet's Coffee,357,4.30%,423,2.20%,"Emeryville, CA",Coffee Cafe
115,Dickey's Barbecue Pit,349,-9.20%,497,-6.40%,"Dallas, TX",BBQ
116,Zoes Kitchen,348,1.20%,256,-1.50%,"Plano, TX",Sandwich
117,Corner Bakery_Cafe,348,-3.90%,175,-3.80%,"Dallas, TX",Bakery Cafe
118,Krystal Co.,343,-9.00%,318,-10.70%,"Dunwoody, GA",Burger
119,Benihana,340,1.60%,71,0.00%,"Doral, FL",Asian
120,Cooper's Hawk Winery & Restaurants,338,19.90%,41,17.10%,"Countryside, IL",Varied Menu
121,Big Boy/Frisch's Big Boy,338,-3.40%,194,-3.00%,"Warren, MI",Family Style
122,Black Bear Diner,336,15.30%,138,15.00%,"Redding, CA",Family Style
123,Twin Peaks,335,2.60%,84,0.00%,"Dallas, TX",Sports Bar
124,Schlotzsky's,335,-0.50%,373,0.50%,"Atlanta, GA",Sandwich
125,Jet's Pizza,331,-1.80%,383,-1.00%,"Sterling Heights, MI",Pizza
126,Famous Dave's,329,-8.00%,128,-11.10%,"Minnetonka, MN",BBQ
127,On The Border Mexican Grill & Cantina,327,-6.10%,136,-4.90%,"Irving, TX",Mexican
128,Fogo de Chao,326,10.10%,43,13.20%,"Plano, TX",Steak
129,Ninety Nine Restaurants,324,2.10%,108,0.90%,"Woburn, MA",Varied Menu
130,Village Inn,313,-7.90%,183,-9.00%,"Denver, CO",Family Style
131,Taco Cabana,311,-4.40%,172,1.20%,"Addison, TX",Mexican
132,Fleming's Prime Steakhouse & Wine Bar,307,1.00%,68,-2.90%,"Tampa, FL",Steak
133,Caribou Coffee,306,6.70%,464,3.80%,"Minneapolis, MN",Coffee Cafe
134,Jack's,290,9.80%,176,8.60%,"Birmingham, AL",Burger
135,Au Bon Pain,289,-8.10%,170,-5.60%,"Boston, MA",Bakery Cafe
136,Bar Louie,284,-5.60%,128,-3.00%,"Addison, TX",Varied Menu
137,Sarku Japan,281,2.40%,224,-0.40%,"New York, NY",Asian/Noodle
138,Old Chicago Pizza & Taproom,275,4.50%,109,1.90%,"Chattanooga, TN",Italian/Pizza
139,Rally's Hamburgers,275,-3.50%,290,-3.70%,"Lexington, KY",Burger
140,Torchy's Tacos,272,17.30%,72,14.30%,"Austin, TX",Mexican
141,Pizza Ranch,269,7.30%,212,2.90%,"Orange City, IA",Pizza
142,Pappadeaux Seafood Kitchen,269,3.10%,40,0.00%,"Houston, TX",Seafood
143,Braum's Ice Cream & Dairy Stores,268,2.20%,281,0.00%,"Oklahoma City, OK",Frozen Desserts
144,Pei Wei Asian Diner,268,-12.50%,150,-16.70%,"Irving, TX",Asian/Noodle
145,Cafe Rio Mexican Grill,267,9.90%,126,6.80%,"Salt Lake City, UT",Mexican
146,Morton's The Steakhouse,266,-1.50%,63,-1.60%,"Houston, TX",Steak
147,Smashburger,265,-6.50%,312,-3.40%,"Denver, CO",Burger
148,Wienerschnitzel,265,3.60%,330,1.50%,"Irvine, CA",Sandwich
149,Sizzler,259,-3.80%,122,-6.90%,"Mission Viejo, CA",Family Casual
150,Seasons 52,253,1.40%,44,4.80%,"Orlando, FL",Varied Menu
151,Bahama Breeze Island Grille,252,5.30%,43,7.50%,NA,Varied Menu
152,Pret A Manger,252,4.70%,95,3.30%,NA,Bakery Cafe
153,Godfather's Pizza,250,4.90%,569,3.80%,NA,Pizza
154,Huddle House,247,0.90%,342,-2.60%,NA,Family Style
155,Mastro's Restaurants,242,9.70%,18,5.90%,NA,Steak
156,Uncle Julio's,239,11.70%,36,2.90%,NA,Mexican
157,Fazoli's,238,2.80%,215,0.00%,NA,Sandwich
158,Rubio's,232,-0.10%,197,-3.40%,NA,Mexican
159,Legal Sea Foods,227,-1.90%,34,-2.90%,NA,Seafood
160,A&W All-American Food,227,1.80%,575,-6.50%,NA,Burger
161,Newk's Eatery,227,0.40%,121,-0.80%,NA,Sandwich
162,Fuzzy's Taco Shop,225,8.60%,152,3.40%,NA,Mexican
163,Sbarro,218,-4.00%,300,-2.60%,NA,Pizza
164,Romano's Macaroni Grill,218,-4.60%,85,-3.40%,NA,Italian/Pizza
165,Brio Tuscan Grille,217,-4.00%,57,-1.70%,NA,Italian/Pizza
166,Lazy Dog Restaurant & Bar,213,21.30%,36,20.00%,NA,Varied Menu
167,Souplantation & Sweet Tomatoes,211,-3.30%,97,0.00%,NA,Family Casual
168,Friendly's,210,-15.30%,160,-20.40%,NA,Family Style
169,Del Frisco's Double Eagle Steak House,205,12.40%,16,0.00%,NA,Steak
170,Penn Station East Coast Subs,201,0.80%,306,-1.30%,NA,Sandwich
171,Cinnabon,201,5.60%,956,3.50%,NA,Snack
172,Uno Pizzeria & Grill,196,-12.90%,85,-14.10%,NA,Italian/Pizza
173,J. Alexander's,195,2.80%,34,3.00%,NA,Varied Menu
174,Luby's,195,-7.50%,79,-6.00%,NA,Family Casual
175,Which Wich,193,-4.20%,372,-3.90%,NA,Sandwich
176,Firebirds Wood Fired Grill,192,7.40%,51,6.30%,NA,Varied Menu
177,Le Pain Quotidien,192,1.20%,94,0.00%,NA,Bakery Cafe
178,Sonny's BBQ,191,-8.30%,94,-6.90%,NA,BBQ
179,True Food Kitchen,190,13.80%,32,28.00%,NA,Varied Menu
180,Buca di Beppo,189,-5.70%,76,-1.30%,NA,Italian/Pizza
181,Hard Rock Cafe,187,-5.20%,40,-4.80%,NA,Varied Menu
182,Johnny Rockets,186,-10.20%,155,-11.40%,NA,Varied Menu
183,Fuddruckers,185,-15.80%,138,-11.50%,NA,Burger
184,The Original Pancake House,185,3.10%,141,0.00%,NA,Family Style
185,Sweetgreen,184,16.80%,102,10.90%,NA,Healthy
186,Golden Chick,183,6.70%,184,0.50%,NA,Chicken
187,Mountain Mike's Pizza,181,10.90%,215,5.40%,NA,Pizza
188,Bubba Gump Shrimp Co.,181,-2.90%,27,0.00%,NA,Seafood
189,The Melting Pot,181,-6.50%,105,-7.90%,NA,Varied Menu
190,Farmer Boys,179,1.70%,93,1.10%,NA,Burger
191,Donatos Pizza,179,3.80%,165,3.10%,NA,Pizza
192,Shoney's,179,-4.40%,126,-0.80%,NA,Family Style
193,Taco Bueno,178,-12.40%,145,-12.10%,NA,Mexican
194,Claim Jumper,177,-10.20%,35,-5.40%,NA,Varied Menu
195,Wetzel's Pretzels,177,3.90%,353,5.40%,NA,Snack
196,La Madeleine Country French Cafe,174,2.40%,87,0.00%,NA,Bakery Cafe
197,Giordano's,173,5.50%,70,1.40%,NA,Italian/Pizza
198,Islands Fine Burgers & Drinks,173,0.90%,56,0.00%,NA,Varied Menu
199,Mimi's Bistro & Bakery,172,-4.80%,77,-2.50%,NA,Varied Menu
200,Beef 'O' Brady's,171,-5.00%,153,-2.50%,NA,Sports Bar
201,Metro Diner,171,36.30%,69,3.00%,NA,Family Style
202,Bill Miller Bar-B-Q,170,3.60%,75,1.40%,NA,BBQ
203,Black Angus Steakhouse,168,1.60%,42,-4.50%,NA,Steak
204,Smokey Bones Bar & Fire Grill,168,-1.30%,61,-3.20%,NA,BBQ
205,Joe's Crab Shack,166,-7.40%,53,-7.00%,NA,Seafood
206,LaRosa's Pizzeria,164,3.70%,66,3.10%,NA,Italian/Pizza
207,Roosters,163,6.70%,42,2.40%,NA,Varied Menu
208,Great Harvest Bread Co.,162,-1.90%,182,-0.50%,NA,Bakery Cafe
209,Shari's Cafe and Pies,161,-2.40%,92,0.00%,NA,Family Style
210,Lee's Famous Recipe Chicken,161,-2.30%,129,-1.50%,NA,Chicken
211,Wayback Burgers,159,2.00%,143,0.70%,NA,Burger
212,McCormick & Schmick's,157,-15.60%,35,-14.60%,NA,Seafood
213,Grand Lux Cafe,157,1.20%,13,0.00%,NA,Varied Menu
214,Anthony's Coal Fired Pizza,153,4.00%,68,1.50%,NA,Italian/Pizza
215,Chicken Salad Chick,153,39.50%,144,38.50%,NA,Chicken
216,Paris Baguette,152,14.50%,81,8.00%,NA,Bakery Cafe
217,Eat'n Park,152,-6.50%,63,-7.40%,NA,Family Style
218,Hurricane Grill & Wings,151,0.80%,56,0.00%,NA,Sports Bar
219,The Old Spaghetti Factory,150,2.20%,42,0.00%,NA,Italian/Pizza
220,Taziki's Mediterranean Cafe,149,11.90%,93,6.90%,NA,Ethnic
221,Menchie's Frozen Yogurt,149,-3.10%,416,-2.10%,NA,Frozen Desserts
222,Bruegger's Bagels,148,-4.50%,210,-2.80%,NA,Bakery Cafe
223,Tijuana Flats,147,6.50%,139,2.20%,NA,Mexican
224,Duffy's Sports Grill,144,2.60%,34,0.00%,NA,Sports Bar
225,Eddie V's Prime Seafood,144,8.10%,21,10.50%,NA,Seafood
226,Topgolf,144,14.60%,54,14.90%,NA,Varied Menu
227,Ocean Prime,144,20.20%,16,6.70%,NA,Seafood
228,Pappasito's Cantina,143,2.20%,25,0.00%,NA,Mexican
229,Pollo Campero,143,1.10%,78,-2.50%,NA,Chicken
230,Houlihan's,143,-21.20%,45,-32.80%,NA,Varied Menu
231,Old Country Buffet/HomeTown Buffet,142,-18.80%,49,-24.60%,NA,Family Casual
232,Great American Cookies,142,2.70%,368,2.20%,NA,Snack
233,Nobu,139,9.40%,17,13.30%,NA,Asian
234,BurgerFi,138,3.00%,112,7.70%,NA,Burger
235,Mission BBQ,136,25.00%,90,21.60%,NA,BBQ
236,Walk-On's Sports Bistreaux,133,27.80%,33,37.50%,NA,Sports Bar
237,The Coffee Bean & Tea Leaf,133,-2.10%,282,-0.70%,NA,Coffee Cafe
238,Yogurtland,132,-2.60%,267,-2.20%,NA,Frozen Desserts
239,Daylight Donuts,132,2.20%,415,0.20%,NA,Snack
240,WaBa Grill,132,3.70%,191,0.00%,NA,Asian/Noodle
241,54th Street Restaurant & Drafthouse,131,4.50%,31,6.90%,NA,Varied Menu
242,Biggby Coffee,129,3.80%,240,0.80%,NA,Coffee Cafe
243,Costa Vida Fresh Mexican Grill,129,5.20%,93,2.20%,NA,Mexican
244,L&L Hawaiian Barbecue,129,5.10%,195,3.70%,NA,BBQ
245,Gyu-Kaku,129,18.60%,52,8.30%,NA,Asian
246,Rainforest Cafe,129,-10.40%,18,-5.30%,NA,Varied Menu
247,PDQ,127,-5.50%,56,-11.10%,NA,Chicken
248,Lupe Tortilla,127,12.10%,25,8.70%,NA,Mexican
249,Cook-Out Restaurant,126,10.10%,270,7.10%,NA,Burger
250,Jollibee,126,15.20%,40,11.10%,NA,Chicken
